physician_specialty,patient_volume,eligible_patients,research_interest,distance_to_site,active_trials,coordinator_load,screen_failure_rate,historical_enrollment,site_experience,visit_burden,eligibility_strictness,specialty_match,geographic_score,site_burden,capacity_score,patient_fit,match_score,match_label,match_score_noisy,physician_id,site_id,study_id,predicted_match,predicted_match_label
Allergy,877,77,9,24,8,24,0.11994405855966571,0.7492033051505946,9,8,6,0.7,0.52,0.5869974063875414,0.30942290817022183,0.08779931584948689,0.45213466995766194,0,0.537258905930408,PHY1025,SITE200,CRSsNP-001,0,Weak Match
ENT,115,6,6,9,7,12,0.15996370129885587,0.7967549727271875,6,8,9,1.0,0.8200000000000001,0.27303935429117127,0.5792095094454764,0.05217391304347826,0.5735814447208477,1,0.6275233322722693,PHY1026,SITE201,CRSsNP-001,1,Strong Match
Allergy,810,101,5,35,1,33,0.31503245522060574,0.7627458444199069,5,6,1,0.7,0.30000000000000004,0.7278340629584837,0.20759343747106654,0.12469135802469136,0.3449081207045378,0,0.28708251053424466,PHY1027,SITE202,CRSsNP-001,0,Weak Match
Allergy,500,61,9,20,4,16,0.3303169884489239,0.32328776868708126,3,7,6,0.7,0.6,0.3457603006877746,0.21150769257715635,0.122,0.47322550844665384,0,0.49648861194061933,PHY1028,SITE203,CRSsNP-001,0,Weak Match
ENT,893,222,9,37,7,18,0.3580600333203614,0.4164772622675833,8,12,8,1.0,0.26,0.44446520121935923,0.23136761209053402,0.24860022396416573,0.5249770582872123,0,0.5667373794536881,PHY1029,SITE204,CRSsNP-001,0,Weak Match
Allergy,185,25,1,42,7,25,0.1067876517261866,0.6219645055582645,4,13,2,0.7,0.16000000000000003,0.5957644216787972,0.25142018159960605,0.13513513513513514,0.29549137793582525,0,0.30368263361081105,PHY1030,SITE205,CRSsNP-001,0,Weak Match
ENT,349,40,3,17,6,26,0.4841467098488521,0.8608932242662808,3,10,5,1.0,0.6599999999999999,0.643954668182718,0.3065170136931377,0.11461318051575932,0.43656123104929556,0,0.45285232706918765,PHY1031,SITE206,CRSsNP-001,0,Weak Match
ENT,490,81,9,47,8,25,0.1178352370936576,0.8009740650312702,6,14,6,1.0,0.06000000000000005,0.6120224620483283,0.31075994571397436,0.1653061224489796,0.48327627355020697,0,0.451663465137251,PHY1032,SITE207,CRSsNP-001,0,Weak Match
PrimaryCare,881,59,2,31,6,34,0.15722478108936097,0.8055207050110811,8,6,5,0.3,0.38,0.8128548771584658,0.15074927129069798,0.06696935300794551,0.19360670479427938,0,0.21879617140539975,PHY1033,SITE208,CRSsNP-001,0,Weak Match
PrimaryCare,434,105,4,8,3,24,0.1056058070104228,0.4819249162558049,9,6,3,0.3,0.84,0.5098360995519879,0.23622219667502692,0.24193548387096775,0.3607447003475486,0,0.3361769863684888,PHY1034,SITE209,CRSsNP-001,0,Weak Match
PrimaryCare,728,128,4,15,4,28,0.3267433733176379,0.5576687382472216,6,11,4,0.3,0.7,0.6482548771718973,0.196157258832162,0.17582417582417584,0.3083620080052866,0,0.1760923007205852,PHY1035,SITE210,CRSsNP-001,0,Weak Match
ENT,618,124,2,31,3,27,0.47290675356838896,0.5824235683895624,5,12,7,1.0,0.38,0.6226296186389485,0.21978940411683365,0.20064724919093851,0.39985673125720655,0,0.4096700298605121,PHY1036,SITE211,CRSsNP-001,0,Weak Match
ENT,236,19,3,30,1,11,0.36637886643218576,0.39442295000994626,2,12,4,1.0,0.4,0.17778278585311827,0.3243013391527728,0.08050847457627118,0.45220910788931057,0,0.36841164216192746,PHY1037,SITE212,CRSsNP-001,0,Weak Match
Allergy,982,129,3,46,5,13,0.42906298739217097,0.3186408781466738,2,10,9,0.7,0.07999999999999996,0.2951578171672999,0.22459153209262994,0.13136456211812628,0.3412436652313276,0,0.3919183734042139,PHY1038,SITE213,CRSsNP-001,0,Weak Match
ENT,787,105,1,20,1,5,0.10531248138343204,0.8681417396763103,9,14,2,1.0,0.6,0.0,0.8681417396763103,0.13341804320203304,0.5819828587357704,0,0.5254418515640087,PHY1039,SITE214,CRSsNP-001,0,Weak Match
ENT,939,201,6,39,1,30,0.3168061193918904,0.4444275513981041,2,12,5,1.0,0.21999999999999997,0.652299282690324,0.1545277784133037,0.21405750798722045,0.4311900044104334,0,0.30853979396441505,PHY1040,SITE215,CRSsNP-001,0,Weak Match
ENT,597,29,8,12,2,26,0.28382519100220877,0.44396934223417883,2,5,8,1.0,0.76,0.5631607864717703,0.19394321829222416,0.048576214405360134,0.49061661861260786,0,0.4021520605697922,PHY1041,SITE216,CRSsNP-001,0,Weak Match
ENT,926,102,3,49,4,14,0.2995871776883172,0.3500274322612557,3,13,5,1.0,0.020000000000000018,0.29218218171771265,0.24775565344211317,0.1101511879049676,0.3948707094928933,0,0.39279687657846407,PHY1042,SITE217,CRSsNP-001,0,Weak Match
PrimaryCare,826,203,5,17,6,10,0.1288852741340752,0.8571046511662672,3,5,8,0.3,0.6599999999999999,0.20428327491006226,0.6820125060853757,0.2457627118644068,0.47841485169217063,0,0.48774024230417407,PHY1043,SITE218,CRSsNP-001,0,Weak Match
ENT,576,83,1,42,8,21,0.37377414442772305,0.6478422689638632,4,7,8,1.0,0.16000000000000003,0.5369081704906009,0.3000104615679956,0.1440972222222222,0.37333558082009455,0,0.30270374000457456,PHY1044,SITE219,CRSsNP-001,0,Weak Match
Allergy,693,87,7,30,3,28,0.30128816594345376,0.7002221142752123,7,13,9,0.7,0.4,0.6305423617186225,0.25870240861251276,0.12554112554112554,0.40507152693592163,0,0.3514521141988076,PHY1045,SITE220,CRSsNP-001,0,Weak Match
ENT,322,23,1,29,1,14,0.4060595399445056,0.8469461323578316,9,9,6,1.0,0.42000000000000004,0.25750245528937316,0.6288554237778514,0.07142857142857142,0.4748779820837759,0,0.47447453768945685,PHY1046,SITE221,CRSsNP-001,0,Weak Match
Allergy,471,115,9,19,3,12,0.2941162536246862,0.5073721013404737,2,13,4,0.7,0.62,0.22601122534997536,0.3927003110081214,0.24416135881104034,0.5539792793693868,1,0.6025906672679184,PHY1047,SITE222,CRSsNP-001,1,Strong Match
Allergy,501,27,8,46,3,25,0.15975265449057285,0.6729043866828506,4,13,3,0.7,0.07999999999999996,0.5405402651147004,0.30917247110845764,0.05389221556886228,0.38925352160243704,0,0.32874941256554263,PHY1048,SITE223,CRSsNP-001,0,Weak Match
ENT,542,107,7,11,5,10,0.35930278163112883,0.32327967283733244,9,10,5,1.0,0.78,0.2124015654160697,0.25461456425948814,0.1974169741697417,0.5620369998527261,0,0.5809957629786209,PHY1049,SITE224,CRSsNP-001,0,Weak Match
PrimaryCare,589,119,7,34,4,25,0.1689545448420665,0.4120635169386776,2,5,6,0.3,0.31999999999999995,0.5566119792874672,0.1827040271832855,0.20203735144312393,0.32838894536869134,0,0.2414544139197341,PHY1050,SITE200,CRSsNP-001,0,Weak Match
Allergy,714,70,5,7,4,28,0.44895782534192596,0.7987474830539656,1,14,3,0.7,0.86,0.6605926436166238,0.271100771641222,0.09803921568627451,0.41367069388815064,0,0.42946513072337733,PHY1051,SITE201,CRSsNP-001,0,Weak Match
PrimaryCare,372,68,5,44,9,37,0.3452464956276966,0.7600610138030015,8,11,2,0.3,0.12,0.9529781395921051,0.035739482892527825,0.1827956989247312,0.20454900735047785,0,0.242338611403275,PHY1052,SITE202,CRSsNP-001,0,Weak Match
PrimaryCare,625,42,5,34,7,22,0.1628815534227817,0.5103856148742881,9,10,7,0.3,0.31999999999999995,0.5257133660660175,0.24206907528705207,0.0672,0.27964247845080864,0,0.30585280898693396,PHY1053,SITE203,CRSsNP-001,0,Weak Match
Allergy,258,26,1,20,4,32,0.4849352229924827,0.5260863766645275,7,13,5,0.7,0.6,0.7651764057046617,0.12353749387817553,0.10077519379844961,0.2883836566547813,0,0.3381035456891661,PHY1054,SITE204,CRSsNP-001,0,Weak Match
PrimaryCare,251,52,8,38,3,36,0.3073461853341283,0.6201326601321477,8,11,9,0.3,0.24,0.8330574890858337,0.10352650338234208,0.20717131474103587,0.29319238045314405,0,0.3395795004795862,PHY1055,SITE205,CRSsNP-001,0,Weak Match
ENT,719,160,1,24,6,16,0.129159380748662,0.30014460281108074,4,8,3,1.0,0.52,0.3557386161065587,0.19337157717521414,0.22253129346314326,0.42573327719017284,0,0.5180798679876788,PHY1056,SITE206,CRSsNP-001,0,Weak Match
ENT,287,49,4,10,3,31,0.35073316176602687,0.44474660162281676,4,11,8,1.0,0.8,0.7112477568702861,0.12842157884290561,0.17073170731707318,0.43724246691082086,0,0.4426733878637752,PHY1057,SITE207,CRSsNP-001,0,Weak Match
ENT,912,138,9,32,6,14,0.2012795628051241,0.4249390851649287,2,6,6,1.0,0.36,0.3125433869600882,0.2921271842357605,0.1513157894736842,0.5360000455195644,1,0.6284946148044166,PHY1058,SITE208,CRSsNP-001,1,Strong Match
ENT,197,16,9,15,9,36,0.421477380750921,0.4502897680498581,8,10,4,1.0,0.7,0.9354358381772903,0.029072581451481474,0.08121827411167512,0.4375755010004861,0,0.39037054649615693,PHY1059,SITE209,CRSsNP-001,0,Weak Match
ENT,230,14,5,37,6,30,0.42712882942647623,0.7835435055200648,2,10,9,1.0,0.26,0.7391503914396508,0.20438701670491274,0.06086956521739131,0.3831797555013653,0,0.3729126683152916,PHY1060,SITE210,CRSsNP-001,0,Weak Match
ENT,904,66,4,20,4,29,0.4915789423418647,0.4678043139278659,9,6,5,1.0,0.6,0.6901332661742796,0.14495699482640978,0.07300884955752213,0.39823028473723454,0,0.3924801260852312,PHY1061,SITE211,CRSsNP-001,0,Weak Match
PrimaryCare,270,25,3,3,5,15,0.30074781240980153,0.4149127932300889,4,8,6,0.3,0.94,0.332680061764078,0.2768795795515968,0.09259259259259259,0.3442560578820597,0,0.2921168349225516,PHY1062,SITE212,CRSsNP-001,0,Weak Match
ENT,282,33,3,37,6,27,0.2819827518910949,0.6025580764758189,1,12,9,1.0,0.26,0.648783801763745,0.21162815683638775,0.11702127659574468,0.3777025703398393,0,0.2596696269791333,PHY1063,SITE213,CRSsNP-001,0,Weak Match
ENT,463,58,5,40,3,38,0.4013902421785923,0.8193870218236392,4,12,7,1.0,0.19999999999999996,0.893027293882473,0.0876520470820558,0.12526997840172785,0.3545451746285958,0,0.3980100927191783,PHY1064,SITE214,CRSsNP-001,0,Weak Match
Allergy,138,16,1,8,8,27,0.15298826253677064,0.44480982230249994,3,12,5,0.7,0.84,0.6660471124128672,0.14854552458503928,0.11594202898550725,0.33108990092209795,0,0.284593193226965,PHY1065,SITE215,CRSsNP-001,0,Weak Match
ENT,626,61,5,40,4,33,0.31876620551724966,0.3471217456756792,6,12,2,1.0,0.19999999999999996,0.7736392925898965,0.07857472390857678,0.09744408945686901,0.357712037886943,0,0.3376705875227957,PHY1066,SITE216,CRSsNP-001,0,Weak Match
PrimaryCare,987,149,6,44,8,35,0.3184990400523404,0.5138428415097989,7,5,4,0.3,0.12,0.8846592795010555,0.05926700356296515,0.15096251266464034,0.22312810092864757,0,0.3023573641671823,PHY1067,SITE217,CRSsNP-001,0,Weak Match
ENT,596,128,7,23,3,11,0.1357892491241549,0.7485910947389867,8,6,2,1.0,0.54,0.18478988751996872,0.6102590305437191,0.21476510067114093,0.6162640925245322,1,0.6448683462981728,PHY1068,SITE218,CRSsNP-001,1,Strong Match
PrimaryCare,615,65,9,40,7,37,0.26719363420276543,0.6304143268168768,2,8,3,0.3,0.19999999999999996,0.9148130303864085,0.05370308610252204,0.10569105691056911,0.26068207840950586,0,0.34769265114625725,PHY1069,SITE219,CRSsNP-001,0,Weak Match
Allergy,448,106,3,11,9,25,0.4413139194268808,0.7900760217446086,6,13,3,0.7,0.78,0.6598209777101519,0.2687672886117337,0.23660714285714285,0.4099231456656173,0,0.4159496973704309,PHY1070,SITE220,CRSsNP-001,0,Weak Match
ENT,496,111,2,46,4,6,0.4424614487978641,0.8757552885655404,6,7,4,1.0,0.07999999999999996,0.10470203414081866,0.7840619284431487,0.22379032258064516,0.5402897629197092,0,0.5680643992845946,PHY1071,SITE221,CRSsNP-001,0,Weak Match
ENT,821,67,3,8,8,22,0.1396950659678724,0.7755974860509702,5,10,6,1.0,0.84,0.5385154158555611,0.3579262833137043,0.08160779537149818,0.46713566392005934,0,0.4551020860450468,PHY1072,SITE222,CRSsNP-001,0,Weak Match
PrimaryCare,260,53,9,29,3,37,0.13628835309913234,0.6622818473062521,7,11,3,0.3,0.42000000000000004,0.8410268414201344,0.10528503713638314,0.20384615384615384,0.3249158617468016,0,0.2824810468079755,PHY1073,SITE223,CRSsNP-001,0,Weak Match
Allergy,115,18,7,30,7,38,0.20507819080077413,0.5960049528314284,3,12,1,0.7,0.4,0.9337803107651361,0.03946726275893689,0.1565217391304348,0.3386458562578824,0,0.366235503964648,PHY1074,SITE224,CRSsNP-001,0,Weak Match
Allergy,592,96,9,10,3,24,0.4499064250215974,0.32404145180896,4,11,1,0.7,0.8,0.5445938597140402,0.14757046686097733,0.16216216216216217,0.470595247941332,0,0.4488001874498075,PHY1075,SITE200,CRSsNP-001,0,Weak Match
Allergy,525,67,2,39,7,39,0.15156103402939958,0.8905931872884247,9,7,9,0.7,0.21999999999999997,0.9536156034821447,0.04130962753528687,0.12761904761904763,0.2368051270636048,0,0.269031225375791,PHY1076,SITE201,CRSsNP-001,0,Weak Match
ENT,207,31,5,28,6,22,0.38799872105097855,0.5300886735450255,4,10,9,1.0,0.43999999999999995,0.5332965778289102,0.24739419799759707,0.1497584541062802,0.45258879534319846,0,0.4240653444437875,PHY1077,SITE202,CRSsNP-001,0,Weak Match
ENT,993,128,4,49,2,28,0.1404662478452413,0.3913369283501201,3,9,5,1.0,0.020000000000000018,0.5991643358969666,0.15686179756326157,0.12890231621349446,0.36568150497632934,0,0.3569123423420535,PHY1078,SITE203,CRSsNP-001,0,Weak Match
ENT,549,86,2,36,3,12,0.3492551414991302,0.7000253132378741,2,14,9,1.0,0.28,0.23157759421510474,0.5379151353085722,0.15664845173041894,0.4815873805728087,0,0.4768232553077799,PHY1079,SITE204,CRSsNP-001,0,Weak Match
PrimaryCare,410,71,9,13,6,34,0.24242691964765795,0.4705729734572756,5,8,7,0.3,0.74,0.8214561846856197,0.08401789406489463,0.17317073170731706,0.34695064327124625,0,0.40079889452352924,PHY1080,SITE205,CRSsNP-001,0,Weak Match
Allergy,838,154,9,32,4,14,0.4155655851863468,0.6514669625586287,4,5,9,0.7,0.36,0.3038904083688261,0.45349240126788826,0.18377088305489261,0.5172521601804182,0,0.49603472811913135,PHY1081,SITE206,CRSsNP-001,0,Weak Match
ENT,269,42,6,36,6,27,0.19347617953014545,0.6520607447067548,8,11,7,1.0,0.28,0.6398489057631013,0.2348403907150648,0.15613382899628253,0.44001664481577346,0,0.49936615079540436,PHY1082,SITE207,CRSsNP-001,0,Weak Match
ENT,645,125,6,37,1,15,0.3556807317559839,0.5674378925417216,7,12,9,1.0,0.26,0.2776545698813406,0.4098861685536755,0.1937984496124031,0.5186613891257019,0,0.4734188021056719,PHY1083,SITE208,CRSsNP-001,0,Weak Match
ENT,513,40,8,26,1,6,0.194273013830354,0.8016711693270255,6,6,2,1.0,0.48,0.034218669020249226,0.7742390489207478,0.07797270955165692,0.6389191202700388,1,0.6524119998535192,PHY1084,SITE209,CRSsNP-001,1,Strong Match
ENT,350,32,6,22,3,30,0.3854641132448615,0.45898023693326584,2,11,8,1.0,0.56,0.6895159632939848,0.14250603673132367,0.09142857142857143,0.42840675387400906,0,0.3940267224945696,PHY1085,SITE210,CRSsNP-001,0,Weak Match
Allergy,858,183,1,4,8,37,0.44947121382429955,0.5691795549706405,3,10,7,0.7,0.92,0.9483570434248563,0.02939411504080842,0.21328671328671328,0.31136479698735436,0,0.36715208809933986,PHY1086,SITE211,CRSsNP-001,0,Weak Match
Allergy,880,100,4,31,8,17,0.15072071965070402,0.622615277154583,9,9,6,0.7,0.38,0.4134387505129798,0.3652019949174996,0.11363636363636363,0.39810561484129287,0,0.35717244006451687,PHY1087,SITE212,CRSsNP-001,0,Weak Match
PrimaryCare,240,13,7,18,4,29,0.44663827543820145,0.6981748324603798,9,8,5,0.3,0.64,0.6855964258665764,0.2195086626955476,0.05416666666666667,0.31788375661911855,0,0.2820471194280102,PHY1088,SITE213,CRSsNP-001,0,Weak Match
ENT,373,30,2,38,6,8,0.3374301017657192,0.7703831103033538,5,6,4,1.0,0.24,0.17486035653807105,0.6356736449648013,0.08042895442359249,0.48375593194505134,0,0.42094081027028935,PHY1089,SITE214,CRSsNP-001,0,Weak Match
ENT,515,48,9,24,8,23,0.1508441963468096,0.5368843697269536,3,14,7,1.0,0.52,0.5648788853511197,0.2336097253931536,0.09320388349514563,0.5005350274173052,0,0.5056870581416062,PHY1090,SITE215,CRSsNP-001,0,Weak Match
Allergy,707,170,8,23,7,22,0.2710167421438848,0.6876281664579577,2,10,3,0.7,0.54,0.5366298058225223,0.3186263970135268,0.24045261669024046,0.48417545299301323,0,0.5137278882354808,PHY1091,SITE216,CRSsNP-001,0,Weak Match
Allergy,838,137,8,22,7,34,0.16434411739403915,0.39036657184111145,8,9,8,0.7,0.56,0.8287163537937521,0.0668634097819788,0.16348448687350836,0.38737216829539756,0,0.4115286274799374,PHY1092,SITE217,CRSsNP-001,0,Weak Match
Allergy,990,234,7,2,4,23,0.3801391555466278,0.8595888603254873,6,6,2,0.7,0.96,0.5274555517148777,0.4061939437545445,0.23636363636363636,0.5285841426703303,0,0.5213722446734775,PHY1093,SITE218,CRSsNP-001,0,Weak Match
Allergy,138,22,4,31,9,27,0.4035472537671799,0.5298352838526021,7,14,1,0.7,0.38,0.706484255478025,0.1555149978140085,0.15942028985507245,0.33830964647876727,0,0.3052825899019014,PHY1094,SITE219,CRSsNP-001,0,Weak Match
ENT,913,133,2,11,6,20,0.1423186081091196,0.7377128531858631,1,11,2,1.0,0.78,0.45801884329285436,0.3998264654874028,0.1456736035049288,0.4785818096444274,0,0.46464781375903264,PHY1095,SITE220,CRSsNP-001,0,Weak Match
Allergy,128,14,3,28,3,5,0.3024559410778578,0.31220464912930657,1,10,9,0.7,0.43999999999999995,0.05018751705415443,0.29653587297674316,0.109375,0.41063217288993314,0,0.398605696743173,PHY1096,SITE221,CRSsNP-001,0,Weak Match
ENT,576,98,6,46,5,16,0.42585002241036685,0.4231122857428842,2,13,5,1.0,0.07999999999999996,0.3705472974570219,0.26632917173999526,0.1701388888888889,0.4567458268245191,0,0.4693763481956191,PHY1097,SITE222,CRSsNP-001,0,Weak Match
ENT,417,32,5,32,5,28,0.47446521662039864,0.5922495265941468,3,14,8,1.0,0.36,0.6783104271279117,0.19052049724376757,0.07673860911270983,0.4004577090141398,0,0.409650349537801,PHY1098,SITE223,CRSsNP-001,0,Weak Match
ENT,344,79,8,5,5,38,0.305407146696708,0.826951480639408,1,9,3,1.0,0.9,0.9136231634955065,0.07142945284033894,0.22965116279069767,0.4903363649161916,0,0.5773223186454091,PHY1099,SITE224,CRSsNP-001,0,Weak Match
ENT,847,182,6,38,8,12,0.48011168944456284,0.6163530899704064,5,13,7,1.0,0.24,0.32050163044691576,0.4188109197038966,0.21487603305785125,0.5194310291605506,0,0.5214128324146248,PHY1100,SITE200,CRSsNP-001,0,Weak Match
Allergy,796,90,6,10,9,22,0.31427558818241197,0.8579222893763274,3,13,2,0.7,0.8,0.5712823972498275,0.3678063872473588,0.11306532663316583,0.4546993693827805,0,0.472739417806041,PHY1101,SITE201,CRSsNP-001,0,Weak Match
ENT,371,89,1,40,9,9,0.2576761978399632,0.5902781379496778,1,5,8,1.0,0.19999999999999996,0.23747530382840115,0.4501016577968151,0.2398921832884097,0.46124584699862536,0,0.46481863731888845,PHY1102,SITE202,CRSsNP-001,0,Weak Match
Allergy,539,115,4,46,6,30,0.43928125142115826,0.5942694580415699,8,9,7,0.7,0.07999999999999996,0.7403772000684564,0.15428590061055333,0.21335807050092764,0.31815897774049695,0,0.30182229974223046,PHY1103,SITE203,CRSsNP-001,0,Weak Match
PrimaryCare,847,155,5,24,6,34,0.29719308418323565,0.37184807310031914,6,13,5,0.3,0.52,0.826984926466331,0.06433532171080483,0.18299881936245574,0.2629182765361418,0,0.2806220015868391,PHY1104,SITE204,CRSsNP-001,0,Weak Match
ENT,338,25,3,35,9,17,0.2887610042258092,0.781593746491332,9,11,4,1.0,0.30000000000000004,0.4425169298845481,0.4357252813770259,0.07396449704142012,0.43638448754730547,0,0.4153514578498846,PHY1105,SITE205,CRSsNP-001,0,Weak Match
ENT,476,69,9,44,4,23,0.29612499576393136,0.4481792474802375,3,10,1,1.0,0.12,0.5189741727594425,0.2155857932712318,0.14495798319327732,0.47445923717662153,0,0.47154837461225396,PHY1106,SITE206,CRSsNP-001,0,Weak Match
Allergy,365,55,1,48,6,33,0.4387140007478981,0.8397674936233892,9,10,5,0.7,0.040000000000000036,0.8160337699263728,0.1544888599402737,0.1506849315068493,0.2459656278721298,0,0.30392905479601495,PHY1107,SITE207,CRSsNP-001,0,Weak Match
ENT,458,44,6,23,4,7,0.4327766166752208,0.8464945321982378,9,11,9,1.0,0.54,0.12896227804230764,0.7373286689755955,0.09606986899563319,0.6025869732397967,0,0.5783190018251728,PHY1108,SITE208,CRSsNP-001,0,Weak Match
